,SITEID,FEATURE,TYPE,STRUCTYPEI,STRIKE,DIP,DLAT,DLONG,EASTING,NORTHING,ZONE_,DIP_DIR,geometry
30,SFCTHU000374,"Bedding, showing strike and dip",inclined,BEIN,260,40.0,-28.91312,116.96926,497001.0,6801640.0,50,170.0,POINT (497001 6801640)
299,SFCTHU000044,"Bedding, showing strike and dip",inclined,BEIN,210,70.0,-28.92984,117.07611,507416.0,6799785.0,50,120.0,POINT (507416 6799785)
177,TJIYAL140252,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,190,82.0,-28.19598,116.75097,475561.0,6881061.0,50,100.0,POINT (475561 6881061)
204,KPWCUE000488,"Bedding, showing strike and dip",inclined,BEIN,70,70.0,-27.69712,117.24818,524472.0,6936323.0,50,340.0,POINT (524472 6936323)
354,SFCTHU000248,"Bedding, showing strike and dip",inclined,BEIN,330,75.0,-28.89315,117.01055,501028.0,6803850.0,50,240.0,POINT (501028 6803850)
265,TJISIN120297,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,70,70.0,-29.02285,117.25702,525029.0,6789457.0,50,340.0,POINT (525029 6789457)
464,TJISIN100028,"Bedding, showing strike and dip",inclined,BEIN,25,60.0,-29.41889,117.21767,521115.0,6745587.0,50,295.0,POINT (521115 6745587)
551,TJIROT140021,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,140,84.0,-29.31818,117.17844,517325.0,6756747.0,50,50.0,POINT (517325 6756747)
55,TJISIN140100,"Bedding, showing strike and dip",inclined,BEIN,355,72.0,-29.43021,117.14058,513638.0,6744341.0,50,265.0,POINT (513638 6744341)
196,IXZBDJ001248,"Bedding, showing strike and dip",inclined,BEIN,166,68.0,-28.97176,116.95912,496020.0,6795140.0,50,76.0,POINT (496020 6795140)
137,SFCCGM000666,"Bedding, showing strike and dip",vertical,BEVE,320,90.0,-28.49476,116.8137,481764.0,6847977.0,50,230.0,POINT (481764 6847977)
29,TJIROT140013,"Bedding, showing strike and dip",inclined,BEIN,335,80.0,-29.31731,117.1709,516596.0,6756844.0,50,245.0,POINT (516596 6756844)
353,TJIDAL180107,"Bedding, showing strike and dip",inclined,BEIN,251,75.0,-27.74717,117.1448,514269.0,6930799.0,50,161.0,POINT (514269 6930799)
368,TJISIN120031,"Bedding, showing strike and dip",inclined,BEIN,22,67.0,-29.22902,116.92956,493157.0,6766636.0,50,292.0,POINT (493157 6766636)
101,SFCTHU000043,"Bedding, showing strike and dip",inclined,BEIN,40,75.0,-28.92892,117.07635,507444.0,6799886.0,50,310.0,POINT (507444 6799886)
320,SFCCGM000680,"Bedding, showing strike and dip",inclined,BEIN,325,75.0,-28.48813,116.76777,477271.0,6848699.0,50,235.0,POINT (477271 6848699)
502,TJIWIN100064,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,333,62.0,-28.95864,118.22759,619617.0,6795974.0,50,243.0,POINT (619617 6795974)
409,TJIDAL180114,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,95,80.0,-27.71939,117.19207,518932.0,6933864.0,50,5.0,POINT (518932 6933864)
82,SFCWYN000284,"Bedding, showing strike and dip",inclined,BEIN,212,70.0,-27.51613,118.15096,613671.0,6955869.0,50,122.0,POINT (613671 6955869)
235,SFCCGM000740,"Bedding, showing strike and dip",inclined,BEIN,322,55.0,-28.42177,116.71238,471831.0,6856044.0,50,232.0,POINT (471831 6856044)
433,SFCCGM000482,"Bedding, showing strike and dip",inclined,BEIN,310,72.0,-28.43989,116.75233,475746.0,6854040.0,50,220.0,POINT (475746 6854040)
477,SFCCGY000051,"Bedding, showing strike and dip",inclined,BEIN,19,80.0,-28.45735,116.83125,483480.0,6852124.0,50,289.0,POINT (483480 6852124)
76,SFCTHU000148,"Bedding, showing strike and dip",inclined,BEIN,130,78.0,-28.96035,117.03241,503160.0,6796410.0,50,40.0,POINT (503160 6796410)
218,SFCWYN000224,"Bedding, showing strike and dip",inclined,BEIN,190,73.0,-27.52285,118.13372,611961.0,6955142.0,50,100.0,POINT (611961 6955142)
280,SFCTHU000058,"Bedding, showing strike and dip",inclined,BEIN,85,80.0,-28.94683,117.05358,505221.0,6797907.0,50,355.0,POINT (505221 6797907)
585,TJISIN120314,"Bedding, showing strike and dip",vertical,BEVE,100,90.0,-29.02149,117.26587,525889.0,6789602.0,50,10.0,POINT (525889 6789602)
432,SFCTHU000009,"Bedding, showing strike and dip",vertical,BEVE,90,90.0,-28.89678,117.1078,510508.0,6803445.0,50,0.0,POINT (510508 6803445)
234,IXZCHL000008,"Bedding, showing strike and dip",inclined,BEIN,160,65.0,-28.1951,118.28773,626389.0,6880516.0,50,70.0,POINT (626389 6880516)
352,SFCWYN000216,"Bedding, showing strike and dip",inclined,BEIN,205,75.0,-27.53289,118.12886,611470.0,6954030.0,50,115.0,POINT (611470 6954030)
2,AHHKIR002495,"Bedding, showing strike and dip",inclined,BEIN,360,80.0,-28.06782,117.93734,592108.0,6894930.0,50,270.0,POINT (592108 6894930)
554,SFCTHU000105,"Bedding, showing strike and dip",inclined,BEIN,330,65.0,-28.91684,117.02377,502318.0,6801228.0,50,240.0,POINT (502318 6801228)
564,TJISIN120041,"Bedding, showing strike and dip",inclined,BEIN,122,75.0,-29.10405,117.11111,510810.0,6780485.0,50,32.0,POINT (510810 6780485)
70,TJIYAL140044,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,158,58.0,-28.21503,116.78556,478956.0,6878960.0,50,68.0,POINT (478956 6878960)
335,TJIGGR130113,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,6,77.0,-28.62798,116.8806,488329.0,6833221.0,50,276.0,POINT (488329 6833221)
298,SFCTHU000355,"Bedding, showing strike and dip",inclined,BEIN,160,75.0,-28.92411,116.96472,496560.0,6800421.0,50,70.0,POINT (496560 6800421)
110,AHHMGI002902,"Bedding, showing strike and dip",inclined,BEIN,210,70.0,-29.52177,117.23531,522804.0,6734182.0,50,120.0,POINT (522804 6734182)
72,TJISIN120295,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,70,72.0,-29.03123,117.25104,524441.0,6788526.0,50,340.0,POINT (524441 6788526)
434,TJISIN120259,"Bedding, showing strike and dip",inclined,BEIN,295,80.0,-29.079523,117.268892,526170.0,6783177.0,50,205.0,POINT (526170 6783177)
165,KPWCUE000281,"Bedding, showing strike and dip",vertical,BEVE,80,90.0,-27.73852,117.14434,514225.0,6931751.0,50,350.0,POINT (514225 6931751)
257,SFCTHU000206,"Bedding, showing strike and dip",inclined,BEIN,345,85.0,-28.98304,117.01805,501758.0,6793896.0,50,255.0,POINT (501758 6793896)
210,SFCWYN000131,"Bedding, showing strike and dip",inclined,BEIN,25,80.0,-27.56948,118.11704,610268.0,6949991.0,50,295.0,POINT (610268 6949991)
312,TJIYAL140038,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,120,72.0,-28.20848,116.78001,478409.0,6879682.0,50,30.0,POINT (478409 6879682)
78,TJIYAL140080,"Bedding, showing strike and dip","overturned, inclined",BEOI,352,80.0,-28.24873,116.74588,475073.0,6875220.0,50,262.0,POINT (475073 6875220)
526,TJISIN120528,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,350,66.0,-29.13481,117.03353,503260.0,6777080.0,50,260.0,POINT (503260 6777080)
362,SFCTHU000138,"Bedding, showing strike and dip",inclined,BEIN,135,78.0,-28.95628,117.04,503897.0,6796860.0,50,45.0,POINT (503897 6796860)
429,TJITAL180003,"Bedding, showing strike and dip",vertical,BEVE,245,90.0,-28.1302,115.67551,369922.0,6887663.0,50,155.0,POINT (369922 6887663)
63,KPWCUE000517,"Bedding, showing strike and dip",inclined,BEIN,40,75.0,-27.71031,117.20826,520532.0,6934871.0,50,310.0,POINT (520532 6934871)
181,TJIYAL140302,"Bedding, showing strike and dip","overturned, inclined",BEOI,12,77.0,-28.30784,116.66125,466790.0,6868649.0,50,282.0,POINT (466790 6868649)
556,SFCWYN000047,"Bedding, showing strike and dip",inclined,BEIN,25,80.0,-27.67618,118.04143,602702.0,6938237.0,50,295.0,POINT (602702 6938237)
365,SFCTHU000274,"Bedding, showing strike and dip",inclined,BEIN,150,80.0,-28.84484,116.9792,497971.0,6809207.0,50,60.0,POINT (497971 6809207)
523,KPWCUE000495,"Bedding, showing strike and dip",vertical,BEVE,150,90.0,-27.71897,117.23247,522914.0,6933908.0,50,60.0,POINT (522914 6933908)
589,TJIGGR130173,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,166,78.0,-28.68013,116.89289,489538.0,6827446.0,50,76.0,POINT (489538 6827446)
10,IXZBDJ000914,"Bedding, showing strike and dip",inclined,BEIN,130,80.0,-28.74728,116.29944,431600.0,6819810.0,50,40.0,POINT (431600 6819810)
436,TJITAL180015,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,53,83.0,-28.13045,115.67287,369663.0,6887635.0,50,323.0,POINT (369663 6887635)
86,AHHKIR002493,"Bedding, showing strike and dip",inclined,BEIN,5,50.0,-28.01583,117.90018,588496.0,6900721.0,50,275.0,POINT (588496 6900721)
182,SFCTHU000008,"Bedding, showing strike and dip",inclined,BEIN,78,75.0,-28.89673,117.1104,510764.0,6803451.0,50,348.0,POINT (510764 6803451)
541,TJISIN140081,"Bedding, showing strike and dip",inclined,BEIN,334,58.0,-29.40882,117.16341,515853.0,6746707.0,50,244.0,POINT (515853 6746707)
6,TJISIN120837,"Bedding, showing strike and dip",vertical,BEVE,145,90.0,-29.0528,117.04863,504736.0,6786164.0,50,55.0,POINT (504736 6786164)
500,SFCTHU000116,"Bedding, showing strike and dip",inclined,BEIN,150,80.0,-28.94633,117.02848,502775.0,6797959.0,50,60.0,POINT (502775 6797959)
81,TJIWIN100013,"Bedding, showing strike and dip",inclined,BEIN,58,40.0,-28.15402,118.4166,639091.0,6884927.0,50,328.0,POINT (639091 6884927)
590,SFCTHU000236,"Bedding, showing strike and dip",inclined,BEIN,335,80.0,-28.90974,117.00426,500413.0,6802015.0,50,245.0,POINT (500413 6802015)
195,SFCTHU000113,"Bedding, showing strike and dip",inclined,BEIN,337,60.0,-28.92272,117.00375,500363.0,6800574.0,50,247.0,POINT (500363 6800574)
77,TJISIN120827,"Bedding, showing strike and dip",inclined,BEIN,160,77.0,-29.05872,117.05904,505745.0,6785509.0,50,70.0,POINT (505745 6785509)
290,TJIYAL140343,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,22,53.0,-28.306042,116.638274,464537.0,6868840.0,50,292.0,POINT (464537 6868840)
284,AHHCUE002179,"Bedding, showing strike and dip",inclined,BEIN,10,70.0,-27.98669,117.823,580931.0,6903999.0,50,280.0,POINT (580931 6903999)
367,SFCCGM000602,"Bedding, showing strike and dip",inclined,BEIN,310,55.0,-28.43762,116.74523,475050.0,6854293.0,50,220.0,POINT (475050 6854293)
131,SFCWYN000133,"Bedding, showing strike and dip",inclined,BEIN,204,70.0,-27.56985,118.11805,610369.0,6949945.0,50,114.0,POINT (610369 6949945)
562,KPWNGH004537,"Bedding, showing strike and dip",inclined,BEIN,110,80.0,-29.11009,117.09188,508942.0,6779813.0,50,20.0,POINT (508942 6779813)
530,CMDTOP000062,"Bedding, showing strike and dip",vertical,BEVE,330,90.0,-28.7585,117.66903,565316.0,6818583.0,50,240.0,POINT (565316 6818583)
104,TJIDAL180036,"Bedding, showing strike and dip",inclined,BEIN,188,77.0,-27.81327,117.14523,514305.0,6923475.0,50,98.0,POINT (514305 6923475)
481,TJIWIN100096,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,139,44.0,-29.00467,118.20443,617309.0,6790899.0,50,49.0,POINT (617309 6790899)
318,SFCWYN000175,"Bedding, showing strike and dip",inclined,BEIN,20,75.0,-27.55908,118.08131,606748.0,6951171.0,50,290.0,POINT (606748 6951171)
478,SFCTHU000267,"Bedding, showing strike and dip",inclined,BEIN,335,80.0,-28.871806,116.983962,498436.0,6806217.0,50,245.0,POINT (498436 6806217)
545,KPWCUE000493,"Bedding, showing strike and dip",inclined,BEIN,90,70.0,-27.68936,117.2373,523400.0,6937189.0,50,0.0,POINT (523400 6937189)
73,SFCWYN000157,"Bedding, showing strike and dip",inclined,BEIN,20,80.0,-27.55986,118.09614,608212.0,6951076.0,50,290.0,POINT (608212 6951076)
39,KPWCUE000492,"Bedding, showing strike and dip",inclined,BEIN,120,65.0,-27.69105,117.23598,523270.0,6936999.0,50,30.0,POINT (523270 6936999)
118,TJIWIN100014,"Bedding, showing strike and dip",inclined,BEIN,340,40.0,-28.15431,118.4168,639113.0,6884895.0,50,250.0,POINT (639113 6884895)
557,TJISIN120532,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,330,70.0,-29.13391,117.0452,504397.0,6777175.0,50,240.0,POINT (504397 6777175)
249,SFCCGM000743,"Bedding, showing strike and dip",inclined,BEIN,305,52.0,-28.41903,116.73866,474406.0,6856348.0,50,215.0,POINT (474406 6856348)
582,SFCREE000002,"Bedding, showing strike and dip",inclined,BEIN,28,80.0,-27.50007,118.10987,609629.0,6957684.0,50,298.0,POINT (609629 6957684)
424,SFCCGY000068,"Bedding, showing strike and dip",inclined,BEIN,23,78.0,-28.42027,116.84206,484529.0,6856232.0,50,293.0,POINT (484529 6856232)
356,KPWCUE000505,"Bedding, showing strike and dip",vertical,BEVE,15,90.0,-27.7187,117.2242,522101.0,6933935.0,50,285.0,POINT (522101 6933935)
60,TJISIN120669,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,235,40.0,-29.12565,117.25706,525010.0,6778069.0,50,145.0,POINT (525010 6778069)
511,SFCTHU000036,"Bedding, showing strike and dip",inclined,BEIN,80,65.0,-28.91942,117.07114,506936.0,6800940.0,50,350.0,POINT (506936 6800940)
555,SFCTHU000135,"Bedding, showing strike and dip",inclined,BEIN,115,83.0,-28.95826,117.038,503701.0,6796638.0,50,25.0,POINT (503701 6796638)
277,TJIGGR130143,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,175,78.0,-28.63806,116.89125,489371.0,6832111.0,50,85.0,POINT (489371 6832111)
463,KPWCUE000319,"Bedding, showing strike and dip",inclined,BEIN,180,75.0,-27.6346,117.13352,513170.0,6943265.0,50,90.0,POINT (513170 6943265)
11,TJIYAL140045,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,186,54.0,-28.2238,116.78987,479385.0,6877989.0,50,96.0,POINT (479385 6877989)
344,SFCTHU000389,"Bedding, showing strike and dip",inclined,BEIN,170,65.0,-28.951966,116.981641,498213.0,6797337.0,50,80.0,POINT (498213 6797337)
