,SITEID,FEATURE,TYPE,STRUCTYPEI,STRIKE,DIP,DLAT,DLONG,EASTING,NORTHING,ZONE_,DIP_DIR,geometry
210,SFCWYN000131,"Bedding, showing strike and dip",inclined,BEIN,25,80.0,-27.56948,118.11704,610268.0,6949991.0,50,295.0,POINT (610268 6949991)
215,TJISIN120260,"Bedding, showing strike and dip",inclined,BEIN,318,31.0,-29.079306,117.269168,526198.0,6783196.0,50,228.0,POINT (526198 6783196)
220,IXZMMT000237,"Bedding, showing strike and dip",inclined,BEIN,35,56.0,-28.01592,117.7678,575484.0,6900797.0,50,305.0,POINT (575484 6900797)
225,TJIWIN000914,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,192,70.0,-29.0022,118.33725,630249.0,6791033.0,50,102.0,POINT (630249 6791033)
230,SFCCGM000137,"Bedding, showing strike and dip",inclined,BEIN,352,72.0,-28.29556,116.79177,479584.0,6870037.0,50,262.0,POINT (479584 6870037)
235,SFCCGM000740,"Bedding, showing strike and dip",inclined,BEIN,322,55.0,-28.42177,116.71238,471831.0,6856044.0,50,232.0,POINT (471831 6856044)
240,SFCWYN000329,"Bedding, showing strike and dip",inclined,BEIN,30,80.0,-27.52058,118.10589,609213.0,6955415.0,50,300.0,POINT (609213 6955415)
245,TJIGGR130295,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,144,84.0,-28.80905,116.99525,499536.0,6813168.0,50,54.0,POINT (499536 6813168)
250,SFCTHU000295,"Bedding, showing strike and dip",vertical,BEVE,340,90.0,-28.85819,116.9582,495921.0,6807728.0,50,250.0,POINT (495921 6807728)
255,SFCTHU000147,"Bedding, showing strike and dip",inclined,BEIN,320,76.0,-28.96006,117.03329,503244.0,6796441.0,50,230.0,POINT (503244 6796441)
260,SFCWYN000016,"Bedding, showing strike and dip",inclined,BEIN,30,75.0,-27.54746,118.0374,602426.0,6952497.0,50,300.0,POINT (602426 6952497)
265,TJISIN120297,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,70,70.0,-29.02285,117.25702,525029.0,6789457.0,50,340.0,POINT (525029 6789457)
270,TJISIN120591,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,18,64.0,-29.04031,117.25189,524523.0,6787522.0,50,288.0,POINT (524523 6787522)
275,KPWCUE000066,"Bedding, showing strike and dip",vertical,BEVE,25,90.0,-27.70882,117.82435,581273.0,6934781.0,50,295.0,POINT (581273 6934781)
280,SFCTHU000058,"Bedding, showing strike and dip",inclined,BEIN,85,80.0,-28.94683,117.05358,505221.0,6797907.0,50,355.0,POINT (505221 6797907)
285,SFCCGL000072,"Bedding, showing strike and dip",inclined,BEIN,155,80.0,-28.25217,116.81547,481897.0,6874852.0,50,65.0,POINT (481897 6874852)
290,TJIYAL140343,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,22,53.0,-28.306042,116.638274,464537.0,6868840.0,50,292.0,POINT (464537 6868840)
295,KPWCUE000320,"Bedding, showing strike and dip",inclined,BEIN,185,80.0,-27.62064,117.13235,513059.0,6944814.0,50,95.0,POINT (513059 6944814)
300,TJISIN120779,"Bedding, showing strike and dip",vertical,BEVE,200,90.0,-29.07572,116.95718,495834.0,6783625.0,50,110.0,POINT (495834 6783625)
305,SFCTHU000250,"Bedding, showing strike and dip",vertical,BEVE,320,90.0,-28.89588,117.00825,500804.0,6803551.0,50,230.0,POINT (500804 6803551)
310,SFCCGM000224,"Bedding, showing strike and dip",inclined,BEIN,180,75.0,-28.30589,116.80237,480625.0,6868896.0,50,90.0,POINT (480625 6868896)
315,SFCCGM000599,"Bedding, showing strike and dip",inclined,BEIN,312,70.0,-28.44297,116.73076,473637.0,6853700.0,50,222.0,POINT (473637 6853700)
320,SFCCGM000680,"Bedding, showing strike and dip",inclined,BEIN,325,75.0,-28.48813,116.76777,477271.0,6848699.0,50,235.0,POINT (477271 6848699)
325,TJISIN130238,"Bedding, showing strike and dip",inclined,BEIN,175,54.0,-29.4877,117.18623,518051.0,6737968.0,50,85.0,POINT (518051 6737968)
330,IXZBDJ000556,"Bedding, showing strike and dip",inclined,BEIN,120,78.0,-28.81302,116.96205,496299.0,6812730.0,50,30.0,POINT (496299 6812730)
335,TJIGGR130113,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,6,77.0,-28.62798,116.8806,488329.0,6833221.0,50,276.0,POINT (488329 6833221)
340,TJIGGR130101,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,165,84.0,-28.62232,116.88764,489017.0,6833850.0,50,75.0,POINT (489017 6833850)
345,SFCTHU000146,"Bedding, showing strike and dip",inclined,BEIN,110,76.0,-28.947726,117.04666,504545.0,6797806.0,50,20.0,POINT (504545 6797806)
350,TJISIN140023,"Bedding, showing strike and dip",inclined,BEIN,58,8.0,-29.48107,117.30859,529917.0,6738673.0,50,328.0,POINT (529917 6738673)
355,IXZBDJ001252,"Bedding, showing strike and dip",inclined,BEIN,167,62.0,-28.9603,116.97215,497287.0,6796410.0,50,77.0,POINT (497287 6796410)
360,TJISIN140157,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,328,74.0,-29.47078,117.07574,507344.0,6739853.0,50,238.0,POINT (507344 6739853)
365,SFCTHU000274,"Bedding, showing strike and dip",inclined,BEIN,150,80.0,-28.84484,116.9792,497971.0,6809207.0,50,60.0,POINT (497971 6809207)
370,KPWCUE000512,"Bedding, showing strike and dip",vertical,BEVE,60,90.0,-27.71382,117.2161,521305.0,6934483.0,50,330.0,POINT (521305 6934483)
375,TJISIN120069,"Bedding, showing strike and dip",inclined,BEIN,138,74.0,-29.10406,117.1001,509740.0,6780479.0,50,48.0,POINT (509740 6780479)
380,TJISIN120326,"Bedding, showing strike and dip",inclined,BEIN,55,61.0,-29.03292,117.24742,524089.0,6788342.0,50,325.0,POINT (524089 6788342)
385,TJISIN120600,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,34,74.0,-29.03333,117.25559,524887.0,6788296.0,50,304.0,POINT (524887 6788296)
390,KPWCUE000502,"Bedding, showing strike and dip",inclined,BEIN,230,75.0,-27.71861,117.22792,522468.0,6933947.0,50,140.0,POINT (522468 6933947)
395,SFCWYN000066,"Bedding, showing strike and dip",vertical,BEVE,48,90.0,-27.59959,118.06883,605482.0,6946694.0,50,318.0,POINT (605482 6946694)
400,SFCCGM000112,"Bedding, showing strike and dip",inclined,BEIN,192,82.0,-28.29786,116.81834,482186.0,6869787.0,50,102.0,POINT (482186 6869787)
405,TJISIN121020,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,166,56.0,-29.069639,117.361535,535190.0,6784244.0,50,76.0,POINT (535190 6784244)
410,KPWCUE000507,"Bedding, showing strike and dip",vertical,BEVE,33,90.0,-27.71761,117.22105,521790.0,6934056.0,50,303.0,POINT (521790 6934056)
415,SFCCGM000571,"Bedding, showing strike and dip",inclined,BEIN,320,78.0,-28.46715,116.79025,479465.0,6851033.0,50,230.0,POINT (479465 6851033)
420,SFCCGM000705,"Bedding, showing strike and dip",inclined,BEIN,355,80.0,-28.47027,116.75409,475927.0,6850677.0,50,265.0,POINT (475927 6850677)
425,IXZMMT000235,"Bedding, showing strike and dip",inclined,BEIN,30,74.0,-28.02388,117.75898,574611.0,6899920.0,50,300.0,POINT (574611 6899920)
430,SFCCGL000021,"Bedding, showing strike and dip",vertical,BEVE,175,90.0,-28.31966,116.8098,481352.0,6867374.0,50,85.0,POINT (481352 6867374)
435,SFCWYN000031,"Bedding, showing strike and dip",inclined,BEIN,30,70.0,-27.56004,118.02699,601385.0,6951115.0,50,300.0,POINT (601385 6951115)
440,CMDTOP000062,"Bedding, showing strike and dip",inclined,BEIN,180,80.0,-28.7585,117.66903,565316.0,6818583.0,50,90.0,POINT (565316 6818583)
445,SFCCGM000708,"Bedding, showing strike and dip",inclined,BEIN,350,70.0,-28.46918,116.75813,476325.0,6850798.0,50,260.0,POINT (476325 6850798)
450,SFCWYN000260,"Bedding, showing strike and dip",inclined,BEIN,217,80.0,-27.5239,118.14743,613312.0,6955009.0,50,127.0,POINT (613312 6955009)
455,TJISIN130080,"Bedding, showing strike and dip",inclined,BEIN,310,72.0,-29.26763,117.26852,526089.0,6762330.0,50,220.0,POINT (526089 6762330)
460,TJISIN100027,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,162,77.0,-29.46151,117.22316,521639.0,6740863.0,50,72.0,POINT (521639 6740863)
465,TJISIN140093,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,298,72.0,-29.43229,117.1358,513171.0,6744113.0,50,208.0,POINT (513171 6744113)
470,KPWNGH004575,"Bedding, showing strike and dip",inclined,BEIN,20,75.0,-29.43299,117.129,512509.0,6744032.0,50,290.0,POINT (512509 6744032)
475,TJISIN120746,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,245,56.0,-29.11911,116.99528,499543.0,6778820.0,50,155.0,POINT (499543 6778820)
480,KPWCUE000515,"Bedding, showing strike and dip",inclined,BEIN,25,80.0,-27.71275,117.2122,520921.0,6934597.0,50,295.0,POINT (520921 6934597)
485,CMDTOP000062,"Bedding, showing strike and dip",inclined,BEIN,332,70.0,-28.7585,117.66903,565316.0,6818583.0,50,242.0,POINT (565316 6818583)
490,TJIYAL130305,"Bedding, showing strike and dip",inclined,BEIN,158,75.0,-28.57517,116.47334,448494.0,6838966.0,50,68.0,POINT (448494 6838966)
495,TJIWIN000870,"Bedding, showing strike and dip",inclined,BEIN,156,42.0,-28.88885,118.2038,617378.0,6803730.0,50,66.0,POINT (617378 6803730)
500,SFCTHU000116,"Bedding, showing strike and dip",inclined,BEIN,150,80.0,-28.94633,117.02848,502775.0,6797959.0,50,60.0,POINT (502775 6797959)
505,KPWNGH004572,"Bedding, showing strike and dip",inclined,BEIN,310,60.0,-29.48085,117.07978,507732.0,6738735.0,50,220.0,POINT (507732 6738735)
510,TJISIN120596,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,33,62.0,-29.03565,117.25615,524942.0,6788036.0,50,303.0,POINT (524942 6788036)
515,SFCTHU000315,"Bedding, showing strike and dip",inclined,BEIN,270,80.0,-28.88519,116.96242,496335.0,6804732.0,50,180.0,POINT (496335 6804732)
520,CXPNIN000897,"Bedding, showing strike and dip",inclined,BEIN,136,65.0,-29.09735,117.09868,509601.0,6781222.0,50,46.0,POINT (509601 6781222)
525,SFCCGM000575,"Bedding, showing strike and dip",inclined,BEIN,330,76.0,-28.47073,116.78684,479135.0,6850632.0,50,240.0,POINT (479135 6850632)
530,CMDTOP000062,"Bedding, showing strike and dip",vertical,BEVE,330,90.0,-28.7585,117.66903,565316.0,6818583.0,50,240.0,POINT (565316 6818583)
535,SFCTHU000106,"Bedding, showing strike and dip",inclined,BEIN,330,80.0,-28.91753,117.02177,502122.0,6801152.0,50,240.0,POINT (502122 6801152)
540,TJIYAL130445,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,302,78.0,-28.40633,116.48294,449355.0,6857676.0,50,212.0,POINT (449355 6857676)
545,KPWCUE000493,"Bedding, showing strike and dip",inclined,BEIN,90,70.0,-27.68936,117.2373,523400.0,6937189.0,50,0.0,POINT (523400 6937189)
550,SFCWYN000077,"Bedding, showing strike and dip",inclined,BEIN,33,80.0,-27.58564,118.06022,604641.0,6948250.0,50,303.0,POINT (604641 6948250)
555,SFCTHU000135,"Bedding, showing strike and dip",inclined,BEIN,115,83.0,-28.95826,117.038,503701.0,6796638.0,50,25.0,POINT (503701 6796638)
560,TJISIN120650,"Bedding, showing strike and dip",vertical,BEVE,133,90.0,-29.02735,117.27792,527064.0,6788951.0,50,43.0,POINT (527064 6788951)
565,KPWCUE000450,"Bedding, showing strike and dip",inclined,BEIN,135,80.0,-27.74767,117.22002,521683.0,6930731.0,50,45.0,POINT (521683 6930731)
570,KPWCUE000322,"Bedding, showing strike and dip",inclined,BEIN,180,80.0,-27.61389,117.13098,512924.0,6945563.0,50,90.0,POINT (512924 6945563)
575,TJIRSY000017,"Bedding, showing strike and dip","way-up not known, inclined",BEWU,192,42.0,-29.20145,116.96141,496246.0,6769697.0,50,102.0,POINT (496246 6769697)
580,TJISIN140080,"Bedding, showing strike and dip",inclined,BEIN,358,72.0,-29.41504,117.1891,518342.0,6746017.0,50,268.0,POINT (518342 6746017)
585,TJISIN120314,"Bedding, showing strike and dip",vertical,BEVE,100,90.0,-29.02149,117.26587,525889.0,6789602.0,50,10.0,POINT (525889 6789602)
590,SFCTHU000236,"Bedding, showing strike and dip",inclined,BEIN,335,80.0,-28.90974,117.00426,500413.0,6802015.0,50,245.0,POINT (500413 6802015)
